system:index,B3,B4,GVI,NDVI,NLI,estimateLAI,.geo
0,0.025927597656846046,0.009737429209053516,5.680141120117404,0.8935436159548287,0.5098898069359706,1744.6209716796875,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.045684512704610825,0.01847417652606964,5.528889227023985,0.8833492196166187,0.6560981139381961,1612.052490234375,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.05030686780810356,0.02903524413704872,4.259018581477231,0.8022122311863924,0.413605640316236,1575.2025146484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.01837296038866043,0.008194271475076675,4.583646157283705,0.8520654387416954,0.12447778154043991,1639.845703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.0061413440853357315,0.0018273949390277267,7.240579853441302,0.9302994969504403,0.1672060715080644,1564.46728515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.012098331935703754,0.004069410264492035,6.317424099254185,0.9121059054103788,0.3164519549585631,1683.2510986328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.04767554625868797,0.018151449039578438,5.710115256465424,0.8926139940159621,0.6987132341557889,1998.042236328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.02321493625640869,0.013260177336633205,5.5433954585834515,0.8394308411419371,0.27011861677290677,1800.064453125,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.037303514778614044,0.013381452299654484,6.448958245327898,0.9081113902100787,0.7045857056528916,1826.67578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.018612511456012726,0.009133183397352695,5.247915139690544,0.8543614120482019,0.19376591761435447,1710.7747802734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.027839306741952896,0.013571850024163723,5.787504497824652,0.8659777323193923,0.4491665921011594,1962.243408203125,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.022424889728426933,0.012418363243341446,5.064894793048516,0.8326625041397913,0.19662838395135845,1762.1605224609375,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.017930716276168823,0.009630141779780388,5.188634267146455,0.8402919012610521,0.12228794146190552,1699.79736328125,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.014834791421890259,0.0053317188285291195,5.433883014948581,0.8941878173014548,0.2616128465594361,1689.122802734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.019144881516695023,0.00638398015871644,6.167499000323983,0.9110896607255404,0.49360741167952815,1868.688720703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.053975287824869156,0.025224164128303528,5.556232465433321,0.866925609460961,0.6646867695863601,1618.71142578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.00502385338768363,0.0018520443700253963,9.10321613200103,0.9295922708387948,0.16354635721588454,1497.6490478515625,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.015263950452208519,0.0071896896697580814,5.996880815827557,0.8738537312337171,0.22674624810192254,1772.9918212890625,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.034163713455200195,0.012435431592166424,5.788713510080743,0.8982216884390797,0.6244539747626436,1760.879638671875,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.04233787581324577,0.02278214320540428,4.014126281006745,0.806166826318087,0.32843688111278607,1688.9395751953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.03080694004893303,0.014165464788675308,4.721473697575782,0.8512238561545213,0.3736728823680256,1686.2796630859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.034094784408807755,0.015572205185890198,5.887698968854541,0.8756247501787764,0.5596064676116649,1814.0950927734375,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.012739643454551697,0.004464235156774521,8.766493204810144,0.9307257663615901,0.5523449845533045,1876.4010009765625,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.029527174308896065,0.011217674240469933,5.078070405136018,0.8823439682856898,0.48337223614371927,2007.107666015625,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.013924228958785534,0.007482520770281553,5.766024032997867,0.8528427066042562,0.08517465382938623,1679.234130859375,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.03331877663731575,0.017226943746209145,5.310373469592431,0.8485416034593449,0.4391691861679343,1836.9344482421875,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.038242388516664505,0.01418017316609621,6.646217717344303,0.9074974243563286,0.7154962646698639,1966.499267578125,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,0.049990229308605194,0.03253156319260597,4.202357526370895,0.7776369250900271,0.35044979195044795,1483.87646484375,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0.011098050512373447,0.0036281864158809185,6.321955271712418,0.9145178862978551,0.29076597297717577,1708.161376953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,0.019520560279488564,0.011030315421521664,5.309674761147902,0.8356121890595618,0.15801583359788743,1689.98876953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0.025557514280080795,0.010624946095049381,5.70272134436006,0.8831973254632642,0.4683581325967659,1919.8507080078125,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,0.03479805588722229,0.015736863017082214,4.940443411391803,0.8585150025611997,0.4616960659763601,1914.9552001953125,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,0.019907964393496513,0.010353191755712032,5.042333991734848,0.8415049961871693,0.165839234327299,1680.04150390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
